
67compartmentalizes,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",20,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",23,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",23,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",19,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",13,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",18,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",17,133,17006
boustrophedonic,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",15,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",9,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",14,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",13,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",3,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",9,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",20,83,17006
salpingectomy,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",19,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",17,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",17,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",19,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",17,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",11,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",12,112,17006
copolymerizations,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",25,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",23,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",22,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",18,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",12,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",15,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",17,132,17006
demonstrability,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",23,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",22,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",19,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",8,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",10,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",16,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",17,115,17006
dermatoglyphics,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",27,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",16,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",19,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",19,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",18,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",17,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",20,136,17006
discolorments,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",19,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",21,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",18,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",16,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",12,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",10,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",18,114,17006
disgruntlement,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",17,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",19,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",18,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",17,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",12,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",16,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",17,116,17006
compressibility,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",26,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",17,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",18,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",15,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",13,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",16,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",16,121,17006
respectabilized,"['R', 'K', 'L', 'S', 'Y', 'S', 'T', 'C']",20,"['L', 'M', 'N', 'J', 'R', 'K', 'L', 'S']",10,"['R', 'N', 'M', 'P', 'L', 'M', 'N', 'J']",13,"['G', 'C', 'G', 'C', 'R', 'N', 'M', 'P']",10,"['M', 'M', 'L', 'F', 'G', 'C', 'G', 'C']",7,"['B', 'G', 'Z', 'R', 'M', 'M', 'L', 'F']",19,"['C', 'D', 'S', 'W', 'B', 'G', 'Z', 'R']",26,105,17006
